,combo,HR_hsa_tmle,HR_hsa_tmle_lower,HR_hsa_tmle_upper,HR_hsa_js,HR_hsa_js_lower,HR_hsa_js_upper,HR_add_js,HR_add_js_lower,HR_add_js_upper
0,Bevacizumab + capecitabine,1.1119393897307677,0.8534043869275383,1.4487964034098815,1.916551892104041,1.456530278943773,2.521863917440316,1.1092204639944454,0.8457384392096529,1.4547878879595921
1,"Bevacizumab, capecitabine + fluorouracil, irinotecan, leucovorin",1.1290308347850992,0.6918507429465843,1.8424647785540564,1.356148449770039,0.8134954006944354,2.2607855142680715,0.6876637583113624,0.4160747554830995,1.136530006358715
2,"Bevacizumab, capecitabine, irinotecan + fluorouracil, leucovorin",1.3259689935240757,0.8113602516265367,2.1669705513211834,1.3613200169933228,0.8140802362107741,2.276424492618305,0.796211994713416,0.4809694573953296,1.3180744240157496
3,"Bevacizumab, fluorouracil, irinotecan, leucovorin + capecitabine",1.2853115108328106,0.7876318221382748,2.09745928674438,1.5436724982340746,0.92923226740383,2.5644016737191575,0.8174609650281075,0.4937938822385589,1.3532821150300263
4,"Bevacizumab + capecitabine, fluorouracil, leucovorin, oxaliplatin",1.1054169488679992,0.6931511383799107,1.7628862785981567,1.6168799364056794,0.9952355007368214,2.6268161925652165,1.0082279362850624,0.6222384168902869,1.6336560776588454
5,"Bevacizumab, capecitabine + fluorouracil, leucovorin, oxaliplatin",0.657489032069613,0.4091190052596037,1.0566407860165985,1.265311977015305,0.7833921193126373,2.0436947981850255,0.6931237862042893,0.4303004942776904,1.1164769489949375
6,"Bevacizumab, capecitabine, oxaliplatin + fluorouracil, leucovorin",0.7351806970368082,0.4576396240605682,1.1810399031880894,0.8720017568535738,0.5384090766259725,1.4122850021786553,0.4471497554260168,0.2785865276282995,0.7177048562962741
7,"Bevacizumab, fluorouracil, leucovorin + capecitabine, oxaliplatin",0.8822269524512709,0.5553584606881636,1.4014811166593353,1.4628271261529329,0.9022472039865895,2.371703887309197,0.8773307359309005,0.543643580931626,1.4158342840911087
8,"Bevacizumab, fluorouracil, leucovorin, oxaliplatin + capecitabine",1.2497069770621443,0.783925985281058,1.9922384993499969,1.0623323898310069,0.658702722466907,1.7132920025858194,0.5980143896954943,0.3718623742599282,0.9617031327641143
9,"Bevacizumab, capecitabine + irinotecan",0.8381282365529044,0.5292364654963642,1.3273063870390218,1.4101634617555947,0.8882053377558489,2.2388527791274555,0.7395143069792613,0.46644485568620253,1.1724460106275194
10,"Bevacizumab, irinotecan + capecitabine",0.8856764776173853,0.5447629834883901,1.4399341489425121,1.352849517195415,0.8155439238495695,2.2441486750791553,0.8249931446860472,0.5060493872289461,1.3449550695158752
11,"Bevacizumab + capecitabine, oxaliplatin",1.3225118564403904,0.9817562178874016,1.7815396312835026,3.5698390388382197,2.605062473309996,4.891917523582903,1.51039415076387,1.1105666248353454,2.0541680612812763
12,"Bevacizumab, irinotecan + fluorouracil",0.7349583234324117,0.4866036985380442,1.1100691153919577,1.7858708058629125,1.170057903796821,2.7257920525848363,0.9442146376783289,0.620622196791149,1.436528191572301
13,"Bevacizumab + fluorouracil, irinotecan, leucovorin",1.3033650883026147,1.1136956419632944,1.5253364468692705,1.8785136775635838,1.5944196731725586,2.2132276063628002,1.002669578431469,0.854256345185611,1.1768672122575807
14,"Bevacizumab, irinotecan + fluorouracil, leucovorin",1.2499513602178105,1.066906637070358,1.4644003032922575,1.5519865224969753,1.3222197025659133,1.8216807398482864,0.778301010856765,0.6656393054531587,0.9100310912203023
15,"Bevacizumab, fluorouracil, leucovorin + irinotecan",1.3039155304458807,1.1133735228242172,1.5270667711094785,1.9282432417746722,1.6342904720425553,2.275068026801102,1.0496842399855433,0.8919524304293411,1.235309155605595
